episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,-1.534058475480819,20,221750.21969474596,532.039763994097,82.86392719581384,1.0,1.0,1.0,14.054615998987524,3.2443725697359014
20,-1.4057615282891784,20,13688.943750054697,239.40797872964825,178.67672215605333,1.0,1.0,1.0,46.80839348229472,4.070060227443888
40,-1.4474755076827304,20,6771.09938378131,316.10896533275695,293.34032639922697,1.0,1.0,1.0,63.11579898414946,9.71223993168487
60,-1.6695608264036867,20,59172.961467913774,690.29915044142,192.8209692752341,1.0,1.0,1.0,2930.1194011519938,9.504263945648784
80,-1.491456157691887,20,83296.50255289048,765.6889846478924,74.68894745980207,1.0,1.0,1.0,4531.478407539856,13.448721917041599
100,-1.2316093490786373,20,9745.175937728382,282.4763280697659,35.53322884010842,1.0,1.0,1.0,65.74599578031705,13.359065064380019
120,-1.5975695059140604,20,23709.53541579062,284.68867799502874,278.79781428637926,1.0,1.0,1.0,17.710868337996967,3.7773436402684144
140,-0.4089778919737063,20,8573.260807912404,77.30348514034833,12.92047184170472,1.0,1.0,1.0,51.82789887387952,8.728097260210307
160,-1.1015761004996876,20,941.1217317522853,97.86915894789314,44.34069778995258,1.0,1.0,1.0,11.429466707109643,3.589380030350617
180,-0.7443761749436022,20,773.2498868347539,106.53938339374571,15.409288283036558,1.0,1.0,1.0,59.76443693994143,7.66791764899165
200,-0.4984047908736396,20,632.9038039330522,62.81936094946124,336.03507233256096,1.0,1.0,1.0,42.43916728852306,8.647816686578416
220,-1.1875126299667185,20,3064.920391889552,135.21335536050833,29.70926950322363,1.0,1.0,1.0,47.328885009731366,3.3673411237644815
240,-0.7824060263936542,20,875.6591155464919,75.49083343399857,70.73997439614644,1.0,1.0,1.0,7.23981087346876,2.864467868818488
260,-1.5286776701065328,20,1098.2267966357217,109.07819960579984,63.333521694960815,1.0,1.0,1.0,44.33238987721438,3.79497832340571
280,-1.3119146008779343,20,923.8540421623984,143.5663597395215,41.36854946871041,1.0,1.0,1.0,16.870143362457828,4.062753658353877
300,-0.5612028998897582,20,96513.63607701138,680.7738059876879,175.3428639798015,1.0,1.0,1.0,6098.584995404095,18.404063239719477
320,-0.9326419745639182,20,4541.7241961891805,256.77473924739087,99.24113475177305,1.0,1.0,1.0,1638.6105312375535,14.552199056750187
340,-0.8571449924910803,20,869.5859073979291,118.60677775694147,227.14185235655623,1.0,1.0,1.0,19.58311683135485,4.078957812290217
360,-0.6979162240521537,20,4534.280673333578,159.96709806840246,83.03146614720542,1.0,1.0,1.0,1657.760941736719,18.6470685876966
380,-0.8340397676890431,20,59028.00108773647,156.1275005241772,28.208908304207572,1.0,1.0,1.0,2932.7962514906667,8.644823456727261
400,-0.9705224478384646,20,62404.287021465134,117.7046652364804,1382.1832461776646,1.0,1.0,1.0,24.393078810086458,5.775109459485011
420,-0.8375912150617362,20,21294.17260807813,77.70780274405033,77.98224387566519,1.0,1.0,1.0,36.00999587169572,5.08044938270441
440,-1.2375030430942773,20,42471.51274784699,425.4324341565042,96.47642926267564,1.0,1.0,1.0,66.7811593556229,8.287060707790294
460,-1.0764425976585197,20,425261.89526739606,366.50127267368794,61.336480740137524,1.0,1.0,1.0,26.569759388479167,4.165659049067687
480,-1.1435177490997943,20,1166.6137103087076,116.11599729566579,55.106553585404974,1.0,1.0,1.0,11.11120152817039,3.2369991329389234
500,-0.8578827283523818,20,1305.2795583309035,61.09263413109605,25.08880803598181,1.0,1.0,1.0,16.770195977287734,4.3346510322087335
520,-1.0844994137433648,20,133466.36786102262,419.76784670088574,107.35855246012517,1.0,1.0,1.0,5856.446581653968,10.374065655809426
540,-0.7777054252602722,20,9199.395815230677,217.49566828594274,73.32461529920145,1.0,1.0,1.0,1600.8177517378224,7.250848768882256
560,-0.9007978876119787,20,1973.8160601020215,159.55876525686244,97.83502254063661,1.0,1.0,1.0,47.43248650423259,11.076459540041437
580,-1.0298920565891452,20,1815.5815241741348,146.32187502621343,42.59439684738722,1.0,1.0,1.0,2956.0598885754753,8.985047389128532
600,-1.0488482508700843,20,1778.4700176748324,168.91257318575356,36.200246974551156,1.0,1.0,1.0,40.86996652712503,6.381246163939425
620,-1.2457901625299725,20,1749.9497064274478,80.79544077498147,14.318836502565215,1.0,1.0,1.0,8.400698535322208,2.4137336510308427
640,-0.9954980803057938,20,46409.41988882832,246.8590726598214,168.61406889932087,1.0,1.0,1.0,1605.6483973114096,8.157473947079694
660,-0.6147728397798355,20,77.50292395732484,26.234900022999362,18.33054522902231,1.0,1.0,1.0,1591.110674854832,4.275388853723029
680,-0.54925089000363,20,3299.5674999640164,73.7791364125084,133.08640114359773,1.0,1.0,1.0,5830.228376190919,10.609433425505253
700,-1.50589521778183,20,7880.557958181895,802.7755609710784,244.69178832274557,1.0,1.0,1.0,3212.2770655075337,18.797128091087963
720,-1.1579797080363423,20,440333.78626502166,443.8614884167664,61.53112822927928,1.0,1.0,1.0,2969.5094993371513,14.17219167555565
740,-0.4018560960646521,20,98.00017435731584,21.886054770463318,19.433470504224836,1.0,1.0,1.0,9.724183443690134,2.7876579067952942
760,-1.0427271761894248,20,230751.02024388747,164.79262119196096,24.881006998125294,1.0,1.0,1.0,15.570795677943483,2.9113405551535516
780,-0.6153362700356725,20,2784.8375614277743,77.46250819912795,109.83002970503296,1.0,1.0,1.0,24.864277153162924,4.541681018389557
800,-0.563219264121777,20,3178.3422287645717,62.267562535670706,15.802220127244855,1.0,1.0,1.0,2940.0413297230048,9.672791785838223
820,-0.6411100822650628,20,6761.453897317095,93.37065483136892,50.67720559992215,1.0,1.0,1.0,48.920479845902854,7.661269964792904
840,-1.3318531576838872,20,1575.8707692790827,149.7846258844578,115.42446783991205,1.0,1.0,1.0,51.85411680059358,4.717601868692014
860,-0.7614795510083617,20,851.5500767597387,76.55497205003469,17.278568548282106,1.0,1.0,1.0,2906.6434342728053,4.733285506535774
880,-0.7118054105907705,20,40115.342655394794,147.86067912452563,141.9874050793224,1.0,1.0,1.0,73.22045113919944,7.060271400000798
900,-0.8055811814792699,20,114369.83003078918,87.20873784077756,9.70419084813872,1.0,1.0,1.0,23.185571671414323,4.111508214549294
920,-0.37587511938538454,20,6579.994480074286,77.06045231080246,43.170235675121965,1.0,1.0,1.0,1619.201511333955,12.723627634402163
940,-0.8222764176400899,20,4246.356314909078,127.22915142204488,27.49774097808456,1.0,1.0,1.0,1609.3074882222,10.655484272755633
960,-0.7965636100301878,20,1330.731613240779,102.44035060603932,61.10371464019156,1.0,1.0,1.0,58.612156075198655,5.519347596594026
980,-0.6773650744530375,20,5375.447091937984,113.13167533142426,16.060418596792523,1.0,1.0,1.0,51.669093081771884,10.295112362152803
1000,-0.67897791032961,20,1288.2383915980313,65.64987071377152,41.00097641727289,1.0,1.0,1.0,1620.3018718928686,10.66244356288991
1020,-0.7859219168106972,20,9093.72468236507,119.63293873032836,93.87444865668677,1.0,1.0,1.0,88.27993885437903,6.738644881389623
1040,-0.9582863825392319,20,3399.481465112868,149.37627786152268,41.499544542457635,1.0,1.0,1.0,1640.4182200210794,9.469326022126534
1060,-0.7961151874975342,20,1284.196227851686,93.64213588285122,34.98510318241339,1.0,1.0,1.0,58.135319799170304,5.31554801457036
1080,-1.1179071007833283,20,299.7583976445179,70.13329097351523,49.362581544232405,1.0,1.0,1.0,16.33443609574358,3.5670441702336233
1100,-0.3586890294355537,20,7742.977021050135,52.2793122787935,21.07632081958771,1.0,1.0,1.0,85.46901930120472,7.377034460298941
