episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,0.947326264812512,20,5.2435065392187585,3.1346228514125025,3.6279519451286744,1.0,1.0,1.0,1.2823019715686859,1.2099387025332053
20,0.7301766727554299,20,7538.418554473434,18.02323246468596,13.14627197946575,1.0,1.0,1.0,10.402939333146623,2.0363893292956523
40,0.9257837601723604,20,10994.822483869057,7.973321352821166,6.152826754271773,1.0,1.0,1.0,13.122054206161987,2.3465183605759528
60,1.004261126067793,20,31.58202118142999,5.057230767536694,2.39633358977694,1.0,1.0,1.0,9.794443233351476,1.619844135590434
80,1.144500804061403,20,44.22433252028714,5.967955528314344,2.819829591490029,1.0,1.0,1.0,2.234143697758067,1.3705946678224823
100,0.8983302955961434,20,159.47578721746933,8.766523745053702,8.235502942620025,1.0,1.0,1.0,2.3936284228913833,1.315583225362178
120,0.9909350371150352,20,406.4989775413761,7.9348000041718985,3.2329925227416636,1.0,1.0,1.0,1.3991117037311493,1.2702244419614208
140,1.1653650132717437,20,5540.046360540096,4.728122952683709,12.184281054583924,1.0,1.0,1.0,7.75065908411175,1.8451149846160944
160,1.1871056268371656,20,30.915509876440233,3.3261569632141215,22.5910233910363,1.0,1.0,1.0,3.8542040445810173,1.9818609413183303
180,0.9166695859975054,20,16.387939321989926,4.954209183535306,6.031372320778911,1.0,1.0,1.0,9.642705262755806,1.5169730320023418
200,0.8984941600520493,20,665.8034429783677,12.920434164458648,1.96064453940504,1.0,1.0,1.0,53.19674733826764,3.909920541642833
220,0.9452719439909654,20,2382.7245396001804,13.598863456718245,6.732183591740989,1.0,1.0,1.0,3.5342492282543647,1.4056524964012882
240,0.6390975315180234,20,451.929937859903,23.061514016992145,52.87390051378959,1.0,1.0,1.0,1.7638771207241208,1.3214136087669393
260,1.1924715563897008,20,1226.5009109211937,5.7751659012994585,2.500782298102603,1.0,1.0,1.0,5.672986182908127,1.6977030683615477
280,0.9882111666184406,20,153.65085869640873,8.589986616978734,2.414915645479128,1.0,1.0,1.0,1.1647721061321918,1.1331497084519435
300,0.8839951899417049,20,84.5672703976776,8.115292345964438,16.293664602141053,1.0,1.0,1.0,27.735617219709617,1.7170852922091822
320,1.060690990945489,20,31779.851601896917,7.313071816940141,2.478269345588266,1.0,1.0,1.0,179.47777750796055,2.2714258806401073
340,0.9841070844988573,20,1593.7220842328848,8.30642899739779,4.831870963058087,1.0,1.0,1.0,27.72873648733691,1.6761820973579604
