episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,1.163685024127427,20,18.013018166426427,3.4118422165051894,3.437743454292446,1.0,1.0,1.0,1.2490198623672923,1.1998430388945887
20,1.1197875043732803,20,262.5030827920232,5.741295832999967,1.6603827804112978,1.0,1.0,1.0,1.3932635055234912,1.264727166598002
40,1.0236230582779098,20,95.46423451193861,4.433554781800321,4.813981422363464,1.0,1.0,1.0,10.690134276619226,1.8081128395321513
60,1.1774071637321197,20,878.4164349632256,4.498227368647584,3.243599143700424,1.0,1.0,1.0,1.4184607235828888,1.2903762204471787
80,1.3742329862591727,20,16.49510660370182,2.5502485154845544,3.4597534734695508,1.0,1.0,1.0,2.2725232340011745,1.4610866117967225
100,1.066939872931659,20,576.7885690390432,6.143233922874007,1.3253574890969302,1.0,1.0,1.0,1.1482621234211647,1.120493642404073
120,0.8040447173464432,20,28792.92280924545,32.98041640617014,8.28253420201702,1.0,1.0,1.0,2.3422533531461864,1.319575977789293
140,1.0878886458847132,20,2170.3279406780607,10.988164697292435,6.414807018471082,1.0,1.0,1.0,3.7713728717693855,1.9000843362863726
160,1.2129277638458666,20,969.43543976681,4.548400866107288,1.6587727775729346,1.0,1.0,1.0,28.909246205805612,2.0007939263241745
180,1.146212851528277,20,11.833195875756648,2.6958818162843277,3.4725390069015605,1.0,1.0,1.0,1.2191722443771458,1.175691493202608
200,1.2423228126061667,20,88.4881616069862,3.3158221999575717,2.8312110990599018,1.0,1.0,1.0,9.674608203977575,1.5463736204510132
220,0.908378703470347,20,39.09233153886514,7.172897427946779,8.938108858442632,1.0,1.0,1.0,3.8143518729490773,1.5155229599443707
240,1.0432396821514782,20,1247.2462468694966,10.034399925422338,4.752715941682438,1.0,1.0,1.0,2.8966620385834014,1.506536535423614
260,1.2742116316289878,20,16.18180728539289,2.8958156092922627,1.320235557086817,1.0,1.0,1.0,1.8373760374012693,1.4819337665318728
280,1.2146431576309902,20,49.62843413418139,3.027066940807603,1.2688959564629383,1.0,1.0,1.0,2.6930788214037755,1.6504736114756866
300,1.157298340699218,20,384.5764578798814,7.057323490355465,10.73581298848223,1.0,1.0,1.0,1.9831705266611366,1.3778593188526391
320,0.9533557353224383,20,60.04682513202895,5.543419266696072,2.7999691764574384,1.0,1.0,1.0,1.445009729589116,1.3577010508639402
340,1.2830248799949016,20,1014.1267022222448,2.826796711781299,1.5849976461017325,1.0,1.0,1.0,2.108574202611425,1.6347087075601905
