episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,1.0248750085512857,20,216.2004526069476,6.34947800675929,13.965422125078701,1.0,1.0,1.0,3.7041604783528728,1.852189132182561
20,1.2708255081843274,20,403.8910516064591,5.372624595347273,5.806314956379084,1.0,1.0,1.0,1.6456863483644608,1.3443160765237676
40,0.9239875426968256,20,42.2101607504376,7.763566733705192,1.5583859058088905,1.0,1.0,1.0,3.510293747629791,1.6501117570710273
60,0.9664923293384607,20,150.92113830550045,6.787167145650099,3.1488672253732144,1.0,1.0,1.0,2.871604219422442,1.4441314284359097
80,0.8457935329322277,20,145.7542147387943,9.078225534912491,6.9080395525180665,1.0,1.0,1.0,1.281561220405274,1.1900879348296491
100,1.0062527433534938,20,14.465876478945585,3.712692153357852,4.953511577695298,1.0,1.0,1.0,1.4086953107451408,1.2777268664971155
120,1.1091185088572482,20,38.45051873089834,4.20821317076264,1.3577204687029634,1.0,1.0,1.0,1.527446125993214,1.3536858428444014
140,1.0432671447243296,20,281.36857030259114,9.299299353387374,2.565045406782972,1.0,1.0,1.0,1.1009599832116619,1.0812623947984732
160,0.7790846354311539,20,1235.699134783324,23.08715802254745,257.37773762130405,1.0,1.0,1.0,28.245582496046147,2.0783859218782545
180,1.2927959446465604,20,6.301116074280756,2.4513989838057775,1.5784975572837523,1.0,1.0,1.0,2.3700561023849764,1.3801862545499282
200,1.0910978434244796,20,85.77599741133444,8.172379006691182,1.3678014912417178,1.0,1.0,1.0,28.348480500162577,1.8459455060591476
220,0.6692791483446721,20,67.65384412618336,11.094369963901157,4.012274109334649,1.0,1.0,1.0,6.023323304632764,1.52355676852322
240,1.2169709388632555,20,172.90484515212074,5.01978215461212,1.700655982711939,1.0,1.0,1.0,1.428768801585481,1.2553283611084403
260,0.9788842252896217,20,25.438420643396213,4.625243819377761,1.1099875217775905,1.0,1.0,1.0,2.7850792499244488,1.586602098606263
280,0.8874580671519154,20,113.7734277970103,8.810994297486033,2.438416055846721,1.0,1.0,1.0,1.4726997806554654,1.3000389249173785
300,1.1207257118936156,20,97.20226849582903,6.515910564207938,5.115998799183826,1.0,1.0,1.0,30.317542131212907,2.1698980827728342
320,0.7405333332437926,20,1605.592630765141,23.116601166772334,3.20279333291655,1.0,1.0,1.0,6.348864793229476,2.250605313798329
340,0.8116924374230846,20,43.72485010647892,9.811184619519127,21.463052727645366,1.0,1.0,1.0,826.2664476697313,2.5744103993439107
360,0.9380057374244881,20,1704.3104913860054,14.646722613307901,4.348885525099198,1.0,1.0,1.0,7.333623852303198,2.1762025362910005
380,0.9004381066417911,20,249.35582706851028,8.64605326179437,2.957293938163435,1.0,1.0,1.0,2.9593453265304595,1.4915812813848923
400,1.0411115490611935,20,334.8639808228541,7.704832985869268,2.870166509610085,1.0,1.0,1.0,1.275060372711314,1.1658326156896126
420,0.9970278526216596,20,8.64379456176751,3.1403228836947434,3.5154180548724003,1.0,1.0,1.0,3.1126411834125602,1.921676213388598
440,0.8497497562706948,20,53.000491050411384,9.044085123969191,3.0096784705310418,1.0,1.0,1.0,3.928025687550503,1.5531740263278864
460,0.8266395273062347,20,11133.386896406282,25.28524783397991,5.9651995345009405,1.0,1.0,1.0,28.678084989104953,2.1750764954006447
480,1.0868846860048162,20,302.6432069841642,5.278463970345269,1.9475002960809373,1.0,1.0,1.0,1.9730820731745236,1.514473352664138
500,1.0263661101679689,20,113135.10571045568,10.525120992934093,1.5878550259369448,1.0,1.0,1.0,791.2488401797991,3.311201407296031
520,0.9584649241445762,20,525.5188339401478,11.098172466097324,2.0764656916760798,1.0,1.0,1.0,6.307446948490662,2.1268008233830944
540,0.8237576278142547,20,15.664243070545032,4.884259243024467,2.850132547830705,1.0,1.0,1.0,2.5954538481601044,1.4390037188037428
560,0.8090436830448384,20,2033.9775769622415,29.710544839463875,6.4901302152718845,1.0,1.0,1.0,751.4658198073522,2.069977177710899
580,1.284167446452593,20,14.291651847510488,2.8632057972403153,2.084320873656567,1.0,1.0,1.0,752.1585353990614,2.666577408493978
600,1.1320822718700152,20,14.337276687834578,3.74314443010747,2.3430794882525356,1.0,1.0,1.0,1.368230546181701,1.2138271208716798
620,1.0552105106989258,20,77.07807912699529,7.641353561777543,7.145901431670103,1.0,1.0,1.0,1.7475923661574062,1.3487482252322787
